time,open,high,low,close,ATR,EMA,EMA,MA,MA,Hiden bar color (Open),Hiden bar color (High,Hiden bar color (Low),Hiden bar color (Close),Volume,Volume MA,Previous Cumulative Volume,Previous Day&#039;s Volume,Cumulative Volume,Previous Cumulative Volume Line,Cumulative Volume Ratio
2020-12-01T18:45:00Z,7.39,7.4,7.38,7.38,0.024200778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2330,1290.2,35747.5,33870,36425,35747.5,1
2020-12-01T19:30:00Z,7.36,7.36,7.36,7.36,0.023900722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1595,1312,38384,33870,38020,NaN,0
2020-12-01T19:45:00Z,7.36,7.37,7.36,7.36,0.022907814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1415,1180.4,40313.5,33870,39435,NaN,0
2020-12-01T20:00:00Z,7.37,7.37,7.35,7.36,0.022700113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2270,1178.7,41558.5,33870,41705,41558.5,1
2020-12-01T20:15:00Z,7.36,7.37,7.35,7.35,0.022507247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,995,1112.3,42381.5,33870,42700,42381.5,1
2020-12-01T20:30:00Z,7.35,7.36,7.34,7.34,0.022328158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1395,1123.1,43398,33870,44095,43398,1
2020-12-01T20:45:00Z,7.33,7.34,7.31,7.31,0.022876147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,855,1127.6,44254,33870,44950,44254,1
2020-12-02T12:00:00Z,7.33,7.34,7.3,7.34,0.024099279,7.548909127,7.530084397,NaN,NaN,NaN,NaN,NaN,NaN,3475,1188.7,39054.5,44950,3475,NaN,0
2020-12-02T12:15:00Z,7.34,7.34,7.29,7.31,0.025949331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1045,1201.6,1746.5,44950,4520,1746.5,2
2020-12-02T12:30:00Z,7.31,7.31,7.3,7.3,0.024810093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,435,1197.4,3001,44950,4955,3001,1
